Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
102,Yenegref,Ald'larith,Ald'larith Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,1897,1506.13,1084.03,-1.9,15.25,118,81°F,Mogadishu (Somalia),,,citadel,,plaza,,,{t1:sable;ordinaries:[{ordinary:chief;t:or;line:straight}];shield:wedged},https://watabou.github.io/city-generator/?name=Yenegref&population=1897&size=17&seed=9336923410102&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
103,Gheggodh,Dhodh,Dhodh Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1967,493.11,990.71,1.05,-16.8,52,81°F,Mogadishu (Somalia),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:chevronReversed;t:gules}];charges:[{charge:crossTemplar;t:gules;p:b;size:0.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1967&name=&seed=9336923410103&width=1600&height=727&tags=dead+end%2Cdense
104,Grirkrun,Morb,Morb Territory,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,2106,645.82,1013.16,0.34,-11.97,4252,64°F,Barcelona (Spain),,,,,,temple,,{t1:sable;charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Grirkrun&population=2106&size=17&seed=9336923410104&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
105,Adrodh,Gularabarag,Gularabarag Parish,Silean,Thearchy of Silean,Uruk (Orkish),Uruk (Orkish) Beliefs,905,1093.89,1068.44,-1.41,2.21,1588,75°F,Dakar (Senegal),,,,walls,plaza,temple,,{t1:purpure;ordinaries:[{ordinary:cross;t:or;line:rayonne}];charges:[{charge:portcullis;t:sable;p:behdf;t2:sable;size:0.3}];shield:gondor},https://watabou.github.io/city-generator/?name=Adrodh&population=905&size=13&seed=9336923410105&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
106,Stagrade,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Anor (Human),Anor (Human) Forefathers,1660,788.24,1343.92,-10.12,-7.46,472,75°F,Dakar (Senegal),,port,,,,,,{t1:gules;division:{division:perPale;t:argent;line:angled};shield:roman},https://watabou.github.io/village-generator/?pop=1660&name=&seed=9336923410106&width=1600&height=727&tags=coast%2Chighway%2Cno+square%2Cdense
107,Barahanumun,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,5402,594.4,729.8,9.31,-13.59,118,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:argent;charges:[{charge:pincers;t:gules;p:abc;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Barahanumun&population=5402&size=25&seed=9336923410107&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
108,Ormnas,Ormnas,Ormnas Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,17145,1017.35,953.73,2.22,-0.21,10289,45°F,Montreal (Canada),,,citadel,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:bar;t:gules;line:straight}];charges:[{charge:wolfHeadErased;t:argent;p:def;t2:argent;size:0.3}];shield:gondor},https://watabou.github.io/city-generator/?name=Ormnas&population=17145&size=38&seed=9336923410108&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
109,Azoyukayli,Altakakyurt,Altakakyurt Province,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,20859,1489.16,1593.06,-18.01,14.72,30,77°F,Miami (USA),,port,,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:bar;t:argent;line:straight}];charges:[{charge:caravel;t:argent;p:abcgzi;t2:argent;t3:argent;size:0.4}];shield:round},https://watabou.github.io/city-generator/?name=Azoyukayli&population=20859&size=41&seed=9336923410109&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.89
110,Midcall,Bayfront,Bayfront Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,10901,1092.28,1513.6,-15.49,2.16,643,77°F,Miami (USA),,,,walls,plaza,,,{t1:sable;division:{division:perPale;t:or;line:straight};charges:[{charge:crescent;t:argent;p:jo;divided:counter;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Midcall&population=10901&size=32&seed=9336923410110&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
111,Drelmolagref,Luiz'ruhn,Luiz'ruhn Territory,Ymnesin,Principality of Ymnesin,Trow (Dark Elfish),Trow (Dark Elfish) Druids,2673,1354.63,584.99,13.89,10.46,52,77°F,Miami (USA),,,,,,,,{t1:or;charges:[{charge:bugleHorn;t:gules;p:e;t2:sable;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Drelmolagref&population=2673&size=19&seed=9336923410111&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
112,Unulnalbun,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Khazadur (Dwarven),Nandorism,11491,1338.92,1247.81,-7.08,9.96,6067,57°F,Washington (D.C.),,,citadel,walls,plaza,,,{t1:gules;charges:[{charge:arrow;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Unulnalbun&population=11491&size=33&seed=9336923410112&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
113,Gulukkzirba,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,10215,559.45,690.53,10.55,-14.7,4019,64°F,Barcelona (Spain),,,,walls,plaza,temple,,{t1:vert;charges:[{charge:crossHummetty;t:argent;p:jeo;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Gulukkzirba&population=10215&size=31&seed=9336923410113&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
114,Kras'zes,New Brug,New Brug Colony,Silean,Thearchy of Silean,Arago (Arachnid),Arago (Arachnid) Gods,9437,1211.74,1074.98,-1.61,5.94,4019,66°F,Marrakesh (Morocco),,,citadel,,plaza,temple,,{t1:or;charges:[{charge:laurelWreath;t:gules;p:e;t2:gules;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Kras%27zes&population=9437&size=30&seed=9336923410114&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
115,Beykut,Yaboy,Yaboy Territory,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,8854,1487.35,1424.67,-12.68,14.66,554,77°F,Miami (USA),,,,,,,,{t1:sable;charges:[{charge:boat;t:or;p:jln;t2:or;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Beykut&population=8854&size=30&seed=9336923410115&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
116,Uzadab,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,2727,686.81,714.34,9.8,-10.67,82,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:point;t:argent}];charges:[{charge:caravel;t:argent;p:bdf;t2:argent;t3:or;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Uzadab&population=2727&size=19&seed=9336923410116&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
117,Inelelthyrno,Yranghei,Yranghei Shire,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,4813,863.62,797.65,7.16,-5.07,840,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:argent;charges:[{charge:bee;t:sable;p:e;t2:sable;t3:azure;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Inelelthyrno&population=4813&size=23&seed=9336923410117&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.09
118,Chugroz,Gularabarag,Gularabarag Parish,Silean,Thearchy of Silean,Uruk (Orkish),Uruk (Orkish) Beliefs,2471,1150.73,1067.29,-1.37,4.01,840,77°F,Miami (USA),,port,,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:embattledGhibellin}];charges:[{charge:drakkar;t:sable;p:e;t2:or;t3:argent;size:0.7}];shield:gondor},https://watabou.github.io/city-generator/?name=Chugroz&population=2471&size=18&seed=9336923410118&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.71
119,Nuccad,Ghiz,Ghiz Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,13848,563.05,1092.64,-2.17,-14.58,118,81°F,Mogadishu (Somalia),,port,,,plaza,temple,,{t1:or;charges:[{charge:lymphad;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Nuccad&population=13848&size=35&seed=9336923410119&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=0.88
120,Aykayolga,Erbeykor,Erbeykor County,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,1349,1871.7,1111.7,-2.77,26.82,13,81°F,Mogadishu (Somalia),,,,,plaza,,,{t1:argent;division:{division:chevronny;t:gules};shield:wedged},https://watabou.github.io/village-generator/?pop=1349&name=&seed=9336923410120&width=1400&height=636&tags=highway%2Cfarmland%2Cno+orchards%2Cdense
121,Beargaven,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,13889,707.84,1349.1,-10.29,-10,13,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:sable;charges:[{charge:escallop;t:argent;p:jlh;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Beargaven&population=13889&size=35&seed=9336923410121&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
122,Whimegcoast,Shroutumnia,Shroutumnia Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,8161,961.28,1430,-12.85,-1.98,643,79°F,Jakarta (Indonesia),,port,,,plaza,,,{t1:vairEnPointe-azure-argent;division:{division:perChevronReversed;t:or;line:straight};ordinaries:[{ordinary:bordure;t:sable}];charges:[{charge:anchor;t:or;p:ABCDEFGHIJKL;size:0.18}];shield:roman},https://watabou.github.io/city-generator/?name=Whimegcoast&population=8161&size=29&seed=9336923410122&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.53
123,Bumunz,Nakilgabu,Nakilgabu Land,Hloiriat,Kingdom of Hloiriat,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,1541,795.9,574.9,14.21,-7.22,6067,52°F,Antwerp (Belgium),,,citadel,,,,,{t1:purpure;charges:[{charge:falchion;t:argent;p:e;t2:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Bumunz&population=1541&size=15&seed=9336923410123&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
124,Lyueghed-Zed,Ormnas,Ormnas Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,6529,957.49,976.46,1.5,-2.1,948,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:lozengy-argent-vert;ordinaries:[{ordinary:cross;t:gules;line:straight}];charges:[{charge:pear;t:or;p:behdf;t2:or;size:0.3}];shield:gondor},https://watabou.github.io/city-generator/?name=Lyueghed-Zed&population=6529&size=26&seed=9336923410124&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.42
125,Adzargabizi,Babar,Babar Territory,Silean,Thearchy of Silean,Khazadur (Dwarven),Khazadur (Dwarven) Deities,12918,1070.93,1134.37,-3.49,1.48,4252,63°F,Lisbon (Portugal),,,,,plaza,temple,,{t1:gules;charges:[{charge:saw;t:or;p:abc;t2:or;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Adzargabizi&population=12918&size=34&seed=9336923410125&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
126,Top Kakazo,Dovayaneli,Dovayaneli County,Alkankoreli,Commonwealth of Alkankoreli,Rohand (Human),Rohand (Human) Beliefs,3956,1588.14,1421.07,-12.56,17.85,82,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:vert;division:{division:perFess;t:or;line:straight};charges:[{charge:bridge;t:argent;p:kn;divided:counter;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Top+Kakazo&population=3956&size=22&seed=9336923410126&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
127,Cragmeade,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,3631,1022.31,1352.02,-10.38,-0.05,554,75°F,Dakar (Senegal),,port,,,,,,{t1:gules;division:{division:perChevron;t:argent;line:straight};charges:[{charge:flangedMace;t:or;p:bdefh;divided:counter;size:0.4}];shield:roman},https://watabou.github.io/city-generator/?name=Cragmeade&population=3631&size=21&seed=9336923410127&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.83
128,Alenepesen,Altakakyurt,Altakakyurt Province,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,4769,1514.06,1575.15,-17.44,15.51,52,77°F,Miami (USA),,,,,plaza,,,{t1:gules;charges:[{charge:fusil;t:or;p:def;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Alenepesen&population=4769&size=23&seed=9336923410128&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
129,Nulnarg,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,7108,595.4,617.4,12.87,-13.56,82,79°F,Jakarta (Indonesia),,,,,plaza,temple,,{t1:or;charges:[{charge:sunInSplendour;t:gules;p:def;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Nulnarg&population=7108&size=27&seed=9336923410129&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
130,Gualmethan,Mythtari,Mythtari County,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,9645,937.6,633.74,12.35,-2.73,840,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:sable;charges:[{charge:cavalier;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Gualmethan&population=9645&size=31&seed=9336923410130&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=2
131,Grirkraz,Dhodh,Dhodh Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1027,561.89,864.13,5.06,-14.62,328,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:vert;charges:[{charge:castle;t:or;p:jeo;t2:or;size:0.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1027&name=&seed=9336923410131&width=1400&height=636&tags=river%2Chighway%2Cdense
132,Dulu,New Oriath,New Oriath Colony,Ymnesin,Principality of Ymnesin,Rohand (Human),Rohand (Human) Beliefs,6963,1829.44,989.73,1.08,25.48,52,81°F,Mogadishu (Somalia),,,,,plaza,,,{t1:azure;division:{division:perCross;t:or;line:embattledGrady};charges:[{charge:bridge2;t:argent;p:j;size:0.6};{charge:unicornRampant;t:purpure;p:l;size:0.6};{charge:sickle;t:azure;p:m;size:0.6};{charge:cossack;t:or;p:o;size:0.6}];shield:noldor},https://watabou.github.io/city-generator/?name=Dulu&population=6963&size=27&seed=9336923410132&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
133,Nasindelohil,Ormnas,Ormnas Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,4645,924.25,914.47,3.47,-3.16,52,81°F,Mogadishu (Somalia),,port,,,,temple,,{t1:purpure;charges:[{charge:lighthouse;t:argent;p:abcpqh;t2:argent;t3:argent;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Nasindelohil&population=4645&size=23&seed=9336923410133&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=0.28
134,V'eldrashe,Ullran,Ullran Clan,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,5443,1702.9,1124.8,-3.19,21.48,30,81°F,Mogadishu (Somalia),,,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:bendlet;t:argent;line:straight}];charges:[{charge:lozengeFaceted;t:gules;p:joe;size:0.3}];shield:wedged},https://watabou.github.io/city-generator/?name=V%27eldrashe&population=5443&size=25&seed=9336923410134&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
135,Sprinkeep,Wilrockward,Wilrockward Margrave,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,10944,1073.94,1657.58,-20.05,1.58,554,75°F,Dakar (Senegal),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:terrace;t:or;line:straight}];charges:[{charge:stirrup;t:argent;p:bdf;t2:argent;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Sprinkeep&population=10944&size=32&seed=9336923410135&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
136,Tradeden,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,1837,788.22,1396.37,-11.78,-7.46,3793,64°F,Barcelona (Spain),,,,,,,,{t1:gules;charges:[{charge:centaur;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1837&name=&seed=9336923410136&width=1600&height=727&tags=highway%2Cno+square%2Cdense
137,Madcallver,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,5589,737.9,1446.5,-13.37,-9.05,30,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:azure;ordinaries:[{ordinary:gyron;t:or}];charges:[{charge:castle2;t:argent;p:bh;t2:argent;t3:argent;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Madcallver&population=5589&size=25&seed=9336923410137&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
138,Dicemeale,Bleakbelia,Bleakbelia Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,9479,1104.67,1682.77,-20.84,2.55,52,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:or;division:{division:perPale;t:gules;line:straight};charges:[{charge:crossPattee;t:azure;p:p;size:0.7};{charge:lute;t:argent;p:q;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Dicemeale&population=9479&size=30&seed=9336923410138&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.21
139,Nanamel,Indor,Indor Territory,Silean,Thearchy of Silean,Quenian (Elfish),Quenian (Elfish) Shamanism,7592,979.29,1011.3,0.4,-1.41,13,81°F,Mogadishu (Somalia),,,,,plaza,,,{t1:argent;division:{division:perChevronReversed;t:gules;line:potenty};charges:[{charge:scale;t:azure;p:dfh;t2:azure;divided:counter;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Nanamel&population=7592&size=28&seed=9336923410139&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
140,Yeren,Yelteli,Yelteli Colony,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,2257,1842.09,1161.67,-4.36,25.88,52,81°F,Mogadishu (Somalia),,port,,,,,,{t1:vairEnPointe-azure-argent;division:{division:perFess;t:or;line:straight};ordinaries:[{ordinary:bendSinister;t:gules;line:straight}];shield:wedged},https://watabou.github.io/city-generator/?name=Yeren&population=2257&size=18&seed=9336923410140&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.85
141,Vhalthuguall,Luiz'ruhn,Luiz'ruhn Territory,Ymnesin,Principality of Ymnesin,Trow (Dark Elfish),Trow (Dark Elfish) Druids,910,1391.32,594.08,13.6,11.62,52,77°F,Miami (USA),,,,,,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:invecked}];charges:[{charge:serpent;t:or;p:e;t2:or;size:1.5}];shield:noldor},https://watabou.github.io/village-generator/?pop=910&name=&seed=9336923410141&width=1000&height=455&tags=estuary%2Cdead+end%2Cuncultivated%2Cno+square%2Cdense
142,Draugauth,New Jamlunana,New Jamlunana Colony,Silean,Thearchy of Silean,Trow (Dark Elfish),Trow (Dark Elfish) Druids,14401,1232.12,705.89,10.07,6.59,397,77°F,Miami (USA),,port,,,plaza,,,{t1:argent;charges:[{charge:lozengeFaceted;t:sable;p:abc;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Draugauth&population=14401&size=36&seed=9336923410142&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.39
143,Brug,Brug,Brug Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,19432,948.55,1088.69,-2.05,-2.39,266,79°F,Jakarta (Indonesia),,port,citadel,,plaza,,,{t1:gules;charges:[{charge:shipWheel;t:or;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Brug&population=19432&size=40&seed=9336923410143&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.39
144,Nuzagnud,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Uruk (Orkish),Uruk (Orkish) Beliefs,5460,874.27,1171.02,-4.65,-4.74,2953,70°F,Tegucigalpa (Honduras),,,,,,,,{t1:or;charges:[{charge:grapeBunch;t:azure;p:e;t2:gules;t3:azure;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Nuzagnud&population=5460&size=25&seed=9336923410144&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
145,Aroluyuzyu,Yaboy,Yaboy Territory,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,12661,1444.88,1406.27,-12.1,13.32,3153,66°F,Marrakesh (Morocco),,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:dolphin;t:purpure;p:joe;t2:purpure;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Aroluyuzyu&population=12661&size=34&seed=9336923410145&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
146,Khargil,Khargil,Khargil Land,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,7139,370.63,750.18,8.66,-20.67,30,79°F,Jakarta (Indonesia),,,,,plaza,temple,,{t1:or;division:{division:perSaltire;t:azure};charges:[{charge:axe;t:gules;p:e;t2:gules;divided:counter;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Khargil&population=7139&size=27&seed=9336923410146&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
147,Meng'en,Ald'larith,Ald'larith Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,1034,1458.7,1132.9,-3.45,13.75,738,77°F,Miami (USA),,,,,plaza,,,{t1:counterVair-argent-purpure;division:{division:perCross;t:gules;line:straight};charges:[{charge:mitre;t:sable;p:j;t2:azure;t3:azure;size:0.6};{charge:fusil;t:argent;p:l;size:0.6};{charge:horsePassant;t:or;p:m;size:0.6};{charge:armEmbowedVambracedHoldingSword;t:gules;p:o;size:0.6}];shield:wedged},https://watabou.github.io/village-generator/?pop=1034&name=&seed=9336923410147&width=1400&height=636&tags=highway%2Cfarmland%2Cdense
148,Zirukthar,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,3059,472.76,689.51,10.58,-17.44,52,79°F,Jakarta (Indonesia),,port,,,plaza,temple,,{t1:azure;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Zirukthar&population=3059&size=20&seed=9336923410148&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=1.1
149,Naluvendelu,Himkanosea,Himkanosea Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,2237,973.27,774.74,7.89,-1.61,13,79°F,Jakarta (Indonesia),,,citadel,,plaza,temple,,{t1:azure;charges:[{charge:mallet;t:or;p:def;t2:or;size:0.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Naluvendelu&population=2237&size=18&seed=9336923410149&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
150,Aloshal,Methyr,Methyr Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,922,1019.34,878.56,4.6,-0.15,738,75°F,Dakar (Senegal),,,,,plaza,temple,,{t1:chequy-or-purpure;division:{division:perFess;t:gules;line:straight};ordinaries:[{ordinary:bar;t:sable;line:straight}];shield:gondor},https://watabou.github.io/city-generator/?name=Aloshal&population=922&size=13&seed=9336923410150&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
151,Reshara,Ormnas,Ormnas Parish,Silean,Thearchy of Silean,Quenian (Elfish),Sileanese Cult,4466,1011.91,925.28,3.12,-0.38,4252,64°F,Barcelona (Spain),,,,,plaza,temple,,{t1:purpure;division:{division:perCross;t:or;line:dovetailed};charges:[{charge:wheatStalk;t:argent;p:e;t2:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Reshara&population=4466&size=23&seed=9336923410151&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
